店舗名,日付,Nのつく日,都道府県,機種名,台番号,G数,差枚,BB,RB,ART,BB確率,RB確率,ART確率,合成確率
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,586,399,0,1,1,0,1/399.0,1/399.0,1/0.0,1/199.5
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,587,3496,0,13,8,0,1/268.9,1/437.0,1/0.0,1/166.5
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,588,4241,0,21,4,0,1/202.0,1/1060.2,1/0.0,1/169.6
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,589,995,0,2,1,0,1/497.5,1/995.0,1/0.0,1/331.7
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,590,5847,0,20,20,0,1/292.4,1/292.4,1/0.0,1/146.2
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,591,3684,0,15,7,0,1/245.6,1/526.3,1/0.0,1/167.5
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,592,4531,0,16,10,0,1/283.2,1/453.1,1/0.0,1/174.3
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,593,1631,0,5,1,0,1/326.2,1/1631.0,1/0.0,1/271.8
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,594,1828,0,8,3,0,1/228.5,1/609.3,1/0.0,1/166.2
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,595,5968,0,24,24,0,1/248.7,1/248.7,1/0.0,1/124.3
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,596,4291,0,11,17,1,1/390.1,1/252.4,1/4291.0,1/148.0
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,597,3140,0,10,7,0,1/314.0,1/448.6,1/0.0,1/184.7
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,598,8512,0,35,40,0,1/243.2,1/212.8,1/0.0,1/113.5
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,599,7091,0,32,25,0,1/221.6,1/283.6,1/0.0,1/124.4
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,600,1866,0,4,3,0,1/466.5,1/622.0,1/0.0,1/266.6
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,601,4910,0,16,30,0,1/306.9,1/163.7,1/0.0,1/106.7
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,602,7621,0,40,31,0,1/190.5,1/245.8,1/0.0,1/107.3
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,603,556,0,1,1,0,1/556.0,1/556.0,1/0.0,1/278.0
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,604,2803,0,13,4,0,1/215.6,1/700.8,1/0.0,1/164.9
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,605,1418,0,3,4,0,1/472.7,1/354.5,1/0.0,1/202.6
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,606,4882,0,15,13,0,1/325.5,1/375.5,1/0.0,1/174.4
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,607,983,0,2,2,0,1/491.5,1/491.5,1/0.0,1/245.8
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,608,3806,0,17,7,0,1/223.9,1/543.7,1/0.0,1/158.6
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,609,5349,0,19,21,0,1/281.5,1/254.7,1/0.0,1/133.7
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,610,5824,0,22,18,0,1/264.7,1/323.6,1/0.0,1/145.6
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,611,3645,0,12,14,0,1/303.8,1/260.4,1/0.0,1/140.2
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,612,4017,0,13,14,0,1/309.0,1/286.9,1/0.0,1/148.8
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,613,5657,0,19,16,0,1/297.7,1/353.6,1/0.0,1/161.6
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,614,3317,0,13,9,0,1/255.2,1/368.6,1/0.0,1/150.8
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,615,1738,0,7,2,0,1/248.3,1/869.0,1/0.0,1/193.1
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,616,2986,0,13,10,0,1/229.7,1/298.6,1/0.0,1/129.8
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,617,7048,0,28,10,0,1/251.7,1/704.8,1/0.0,1/185.5
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,618,5770,0,25,14,0,1/230.8,1/412.1,1/0.0,1/147.9
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,619,1842,0,4,3,0,1/460.5,1/614.0,1/0.0,1/263.1
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,620,3202,0,16,8,0,1/200.1,1/400.2,1/0.0,1/133.4
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,621,1837,0,5,3,0,1/367.4,1/612.3,1/0.0,1/229.6
123横浜西口店,2023-04-04,4,神奈川県,マイジャグラーV,622,2363,0,10,4,0,1/236.3,1/590.8,1/0.0,1/168.8
