syuzai_name,baitai_name,kouyaku
1日回胴録ハンチョウ石神収録 ガット石神,1GAME,来店実践
いきなりヨースケ収録 ヨースケ,1GAME,未調査
来店実戦_BASHtv,BASHtv,来店実践
BASHFIGHT,BASHtv,未調査
据膳上膳,BASHtv,高設定据置示唆
BASH QUEST,BASHtv,4台設置機種に二箇所
三暗刻,BASHtv,3台並びで高設定が3箇所
四暗刻,BASHtv,3台並びが4箇所
メガサンダー,BASHtv,??? 知ってる人教えてください
スコーピオン取材 ArmStrong,DMM,未調査
スコーピオン取材 REPO取材,DMM,未調査
スコーピオン取材 マジ愛取材,DMM,未調査
降臨シリーズ 四神画像,DMM,未調査
SCORPION取材,DMM,複数回に分けて数種類のイベントを開催
REAL取材,DMM,不明 知ってる人教えてください
降臨シリーズ トールハンマー,DMM,特定末尾番台に高設定を一部投入
降臨シリーズ シヴァ,DMM,設定６を６機種に投入
トントンマン,DMM,8機種に1/2で設定456投入
英雄の軌跡 ,DMM,"4台以上機種に全6が2機種以上
　　　6台以上機種の全てに6を1/6以上"
降臨シリーズ ヘラクレス×オーディン,DMM,"4台↑機種の2機種以上1/2高設定かつ
　　　3台並び以上で4か所以上に高設定"
降臨シリーズ オーディン,DMM,3台並び以上で4か所以上に高設定
スコーピオン取材 ALBATROSS TWIN,DMM,1機種(ツインは2機種)に設定全456
ドリスロ：ジャグラー,dorislo,ジャグラー系に高設定が複数台投入
ドリスロ：3台並び,dorislo,3台並びに高設定が複数カ所投入
ドリスロ：全台系,dorislo,全台系に高設定が複数カ所投入
おゆん実践,Gooパチ,来店実践
もも実践,Gooパチ,来店実践
ぱちジャッジ,Gooパチ,未調査
ぱちジャッジ 初,Gooパチ,不明 知ってる人教えてください
ダブジャクエスト,Gooパチ,"装備のアイコンにそれぞれ対応した
　　　公約が存在"
ダブジャクエスト 初,Gooパチ,"装備のアイコンにそれぞれ対応した
　　　公約が存在"
エンジェルジャッジ,Gooパチ,"全台系・バラ・並び・末尾・パネル
　　　　・機種末尾などから二つ以上"
エンジェルジャッジ 初,Gooパチ,"全台系・バラ・並び・末尾・パネル
　　　　・機種末尾などから二つ以上"
Gooパチ ジャッジ2nd,Gooパチ,機種単位で高設定台が複数
Gooパチ ジャッジ2nd 初,Gooパチ,機種単位で高設定台が複数
Gooパチジャッジ2nd,Gooパチ,機種単位で高設定台が複数
ダブジャ,Gooパチ,機種やパネルや島単位での全台系
めなこ軍曹調査員,Gooパチ,Gooパチ調査員
Gooパチ ジャッジ1st,Gooパチ,"6つの公約から3つを選択
　　　店全体機械割が100%以上"
Gooパチ ジャッジ1st 初,Gooパチ,"6つの公約から3つを選択
　　　店全体機械割が100%以上"
ヒッポツアー,hippo,全⑥機種を1機種以上設置
IMCいむちゃんねる 収録予定,IMCいむちゃんねる,未調査
P-tube広告,P-martTV,未調査
R30 ★★,P-martTV,ジャグラー
ｙｔｒ来店実践,SEVENSTV,来店実践
ワロス来店実践,SEVENSTV,来店実践
司芭扶来店実践,SEVENSTV,来店実践
アツ姫独自取材 Q,アツ姫,未調査
プレミアムペルセウス,アツ姫,未調査
アツ姫GO,アツ姫,編集部が取材と称して来店する
プレミアムNARABU無双,アツ姫,並び2箇所で5台以上設定⑥
全国プレミアムホール取材,アツ姫,不明 知ってる人教えてください
スナイプ,アツ姫,特定の末尾に全台設定456投入
極･究SLOT,アツ姫,対象機種が紙面に載っている
フェニックス,アツ姫,全台の10%の台に設定456
フェニックスNEO,アツ姫,全体の10％が設定56
サムライ乙女レポート 爆ガチ,アツ姫,戦国乙女示唆
満台が見たい!!,アツ姫,設置台数の10％が設定56
アニバーサリーレポート 爆ガチ,アツ姫,周年日示唆
FLASHジャック,アツ姫,沖スロやジャグラーシリーズなどが狙い目
FLASHジャックNEO,アツ姫,沖スロやジャグラーシリーズなどが狙い目
Re:START取材,アツ姫,リゼロが対象の取材
かぼレポ,アツ姫,マジカルハロウィン示唆
満天☆STAR Passion K,アツ姫,パチンコ(三機種以上に+ボーダーあり）
満天☆STAR Passion Z,アツ姫,パチンコ(三機種以上に+ボーダーあり）
満天☆STAR PassionZ,アツ姫,パチンコ(三機種以上に+ボーダーあり）
快盗天使レポート,アツ姫,ツインエンジェル示唆
SUPERフェニックス,アツ姫,スロット全体の10％が設定56
満天★STAR JOY,アツ姫,ジャグラー3機種以上が機械割100%以上
満天☆STAR JOY,アツ姫,ジャグラー3機種以上が機械割100%以上
ゴールデンオルトロス,アツ姫,"オルトロスが二日連続で開催
   　　公約もオルトロスと同じで
　　　全5.6機種2ヵ所になる"""
Ａレポート,アツ姫,Aタイプに高設定投入
ブラックフェニックス,アツ姫,8台構成以上2機種が1/2設定⑤⑥
NARABU LEGEND,アツ姫,5台並びで設定56が3箇所
