取材名,媒体名,公約内容
ｙｔｒ来店実践,SEVENSTV,来店実践
Ａレポート,アツ姫,Aタイプに高設定投入
黒バラの極意(来店ver),ジャンバリ.TV,
鮮魚レポート,アメスロ,
魔法少女レポート スロット取材,爆ガチ！,まどかマギカシリーズが狙い目
魔法少女レポート ,爆ガチ！,まどマギシリーズが狙い目
鬼ばかり取材,DMMぱちタウン,
飛ばせ!最玉,パチンコウォーカー,
降臨シリーズ 四神画像,DMMぱちタウン,未調査
降臨シリーズ ヘラクレス×オーディン,DMMぱちタウン,"4台↑機種の2機種以上1/2高設定かつ
　　　3台並び以上で4か所以上に高設定"
降臨シリーズ トールハンマー,DMMぱちタウン,特定末尾番台に高設定を一部投入
降臨シリーズ シヴァ,DMMぱちタウン,設定６を６機種に投入
降臨シリーズ オーディン極,DMMぱちタウン,
降臨シリーズ オーディン,DMMぱちタウン,3台並び以上で4か所以上に高設定
降臨シリーズ アテナ,DMMぱちタウン,
阿波みなみ来店,その他取材・企画,
閃光乱華(ゲッツ!!),ゲッツ!!,
金字塔,アツ姫,
遊ぱちレポート,爆ガチ！,甘デジが対象
遊×スロパチンカー,パチンコ店長のホール攻略,
週末GOGOレポート,爆ガチ！,ジャグラーシリーズが狙い目
近隣の旧イベ(毎月 19日)対抗日,旧イベ,
近隣の旧イベ 毎月 25日対抗日,対抗,近隣の店舗を要チェック
近隣の旧イベ ゾロ目の日対抗日,対抗,近隣の店舗を要チェック
近隣の旧イベ 7のつく日対抗日,対抗,近隣の店舗を要チェック
超モンスターレコード取材,パチンコウォーカー,
超パチンコ取材,パチンコウォーカー,
超HiTension取材,でちゃう！,
赤羽六華来店,その他取材・企画,
覇王降臨,パチマガスロマガ,
裏頂天,スクープTV,番長シリーズに設定5を1/5以上
萌スロcollection,パチマガスロマガ,萌スロシリーズが狙い目
華麗なる編集部取材,アツ姫,
華取材,DMMぱちタウン,
華まるガチンコ調査,名探偵ショウゴローの…,
英雄の軌跡(DMM),DMMぱちタウン,
英雄の軌跡 ,DMMぱちタウン,"4台以上機種に全6が2機種以上
　　　6台以上機種の全てに6を1/6以上"
苦愛取材～4番は俺だ！ 初,天草ヤスヲのちゅんげーリサーチ,来店実践
苦愛取材～4番は俺だ！,天草ヤスヲのちゅんげーリサーチ,来店実践
苦愛収録,天草ヤスヲのちゅんげーリサーチ,来店実践
聖戦士９０％オーバーレポート,爆ガチ！,大工の源さんが狙い目の取材
美ら波乗り取材,アツ姫,
絢爛華麗,アツ姫,
突撃回胴取材         スロマガ,パチマガスロマガ,未調査
究SLOT,アツ姫,
究PACHINKO,アツ姫,
石川リサーチ,アツ姫,
真・執念取材,スクープTV,不明　教えてください
真ツクヨミ,ジャンバリ.TV,
百裂神拳レポートＳＬＯＴ,爆ガチ！,北斗シリーズが狙い目
百機良乱,スクープTV,バラエティー設定456を1/3以上投入
痛烈な批判を聞かせてくれ,でちゃう！,
番組収録(ジャンバリ),ジャンバリ.TV,
番組収録 ジャンバリ,ジャンバリ.TV,来店実践
番組収録,不明,来店実践
男の華道,DMMぱちタウン,
琉球レポート,アメスロ,
王者凱旋,アツ姫,
王様旋風,でちゃう！,
玄武レポート『塊』,爆ガチ！,設定⑤⑥2台以上並びの塊を2ヵ所以上
特売会(ゲッツ!!),ゲッツ!!,
爆スロ 連,爆スロ,4台並びで複数箇所存在(機種またぎ有り)
爆スロ 赤色,爆スロ,未調査
爆スロ 全,爆スロ,全台形が複数箇所存在
爆スロ 光,爆スロ,ジャグラーが対象の模様
熱盛アンケート,パチスロ熱盛(@zPLie1cOUYtF6sW),
無双世紀末レポート,爆ガチ！,北斗シリーズが狙い目
潜入取材ギガテン,スロパチステーション,未調査
漢気,DMMぱちタウン,
